ch,name,type,unit,min,Q1,median,Q3,max
104,MEG0921,mag,T,-4.868852473380406e-06,-6.747817988204117e-13,1.0147094719103935e-14,6.595611567417558e-13,3.2061738020218293e-06
105,MEG0922,grad,T/m,-0.00038943277084544536,-4.380798329618133e-12,0.0,4.181671132817309e-12,0.00040819715544367454
106,MEG0923,grad,T/m,-0.00035109196830813955,-4.978179920020606e-12,-1.9912719680082423e-13,4.380798329618133e-12,0.000356338500202784
107,MEG0931,mag,T,-5.276820622532741e-06,-5.733108516293723e-13,6.088256831462361e-14,6.747817988204117e-13,4.281954387950596e-06
108,MEG0932,grad,T/m,-0.0003593412423512316,-4.7790527232197816e-12,-1.9912719680082423e-13,4.380798329618133e-12,0.0003874803229061246
109,MEG0933,grad,T/m,-0.00012985565913292734,-3.7834167392156604e-12,1.9912719680082423e-13,4.181671132817309e-12,0.00040213128084616963
110,MEG0941,mag,T,-4.818801040807638e-06,-5.301856990731806e-13,9.639739983148738e-14,6.874656672192916e-13,5.356243439742733e-06
111,MEG0942,grad,T/m,-0.000272772141196794,-4.579925526418957e-12,-1.9912719680082423e-13,4.380798329618133e-12,0.0003918962401046793
112,MEG0943,grad,T/m,-0.00039719894637892285,-3.982543936016485e-12,1.9912719680082423e-13,4.579925526418957e-12,0.0002933968764101876
113,MEG1011,mag,T,-4.232585339887366e-06,-4.4139862028102117e-13,1.4459609974723107e-13,7.559585565732432e-13,4.324681586672547e-06
114,MEG1012,grad,T/m,-0.0003944916972420231,-4.579925526418957e-12,0.0,4.380798329618133e-12,0.0004056189357521218
115,MEG1013,grad,T/m,-0.0003403802525021491,-5.973815904024727e-12,-7.965087872032969e-13,4.7790527232197816e-12,0.00029135335884217315
116,MEG1021,mag,T,-2.7767738548849123e-06,-4.515457150001251e-13,1.420593260674551e-13,7.382011408148113e-13,5.20574158373611e-06
117,MEG1022,grad,T/m,-0.000399164693028082,-4.181671132817309e-12,-1.9912719680082423e-13,3.982543936016485e-12,0.00031910793613029395
118,MEG1023,grad,T/m,-0.00024015230822544954,-6.5711974944272e-12,3.9825439360164847e-13,6.5711974944272e-12,0.00041017917934728175
119,MEG1031,mag,T,-4.7258222910476424e-06,-4.033470150843814e-13,1.5981674182588698e-13,7.610321039327951e-13,2.3451145632481605e-06
120,MEG1032,grad,T/m,-0.00012048833785199703,-4.579925526418957e-12,0.0,4.579925526418957e-12,0.00039314855841306596
121,MEG1033,grad,T/m,-0.00040808905944401844,-4.380798329618133e-12,3.9825439360164847e-13,4.7790527232197816e-12,0.0003937626157114373
122,MEG1041,mag,T,-3.893240376395498e-06,-3.754425046068456e-13,1.8518447862364681e-13,8.041572564889868e-13,4.102655209043387e-06
123,MEG1042,grad,T/m,-0.00029365132711607557,-5.17730711682143e-12,-1.9912719680082423e-13,4.978179920020606e-12,0.000377223100788801
124,MEG1043,grad,T/m,-0.00012646858616186,-4.978179920020606e-12,-1.9912719680082423e-13,4.7790527232197816e-12,0.00035094488001731467
125,MEG1111,mag,T,-5.3563199995723885e-06,-4.1095733612370937e-13,1.5981674182588698e-13,7.711791986518991e-13,3.9305070378594995e-06
126,MEG1112,grad,T/m,-0.0003352473330278937,-4.978179920020606e-12,-1.9912719680082423e-13,4.978179920020606e-12,0.0004032516053026305
127,MEG1113,grad,T/m,-0.0003135842532284534,-5.774688707223903e-12,1.9912719680082423e-13,6.172943100825551e-12,0.00021052611848442206
128,MEG1121,mag,T,-4.640642580531335e-06,-4.769134517978849e-13,1.090812682303673e-13,7.128334040170514e-13,4.2262405137659314e-06
129,MEG1122,grad,T/m,-0.0003887673496822952,-4.7790527232197816e-12,0.0,4.579925526418957e-12,0.000412939155972004
130,MEG1123,grad,T/m,-0.00025500300727144317,-5.17730711682143e-12,-1.9912719680082423e-13,4.7790527232197816e-12,0.00028916038117929267
131,MEG1131,mag,T,-5.092191263556665e-06,-4.71839904438333e-13,1.0654449455059132e-13,7.077598566574995e-13,3.203568469496584e-06
132,MEG1132,grad,T/m,-0.000406867086925661,-4.7790527232197816e-12,-1.9912719680082423e-13,4.380798329618133e-12,0.0004187689583082497
133,MEG1133,grad,T/m,-0.00040714892160365306,-5.17730711682143e-12,-1.9912719680082423e-13,4.7790527232197816e-12,0.00042055622406488106
134,MEG1141,mag,T,-4.7165877930495175e-06,-4.1603088348326133e-13,1.57279968146111e-13,7.81326293371003e-13,2.9552207082770004e-06
135,MEG1142,grad,T/m,-0.00038402008462913676,-4.579925526418957e-12,0.0,4.7790527232197816e-12,0.0002840972533979897
136,MEG1143,grad,T/m,-0.00041265256195488123,-3.584289542414836e-12,1.9912719680082423e-13,3.982543936016485e-12,0.0003590095103802652
137,MEG1211,mag,T,-3.2950870954516527e-06,-6.646347041013077e-13,-1.7757415758431886e-14,5.986785884271322e-13,5.419517947180659e-06
138,MEG1212,grad,T/m,-0.0002632782853351654,-4.380798329618133e-12,0.0,4.181671132817309e-12,0.0003856879959335321
