,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
MEG0233,3.997842355829649e-12,4.50412804309631e-12,3.9367655225590355e-12,4.7480238124908485e-12,3.702646212931232e-12,4.1742895472710864e-12,3.901899116766607e-12,3.454850563930676e-12,4.971383948237695e-12,4.048998731583629e-12,3.670258777958107e-12,3.6137361421705256e-12,4.267273937345817e-12,3.705829223396962e-12,3.797938302622763e-12,4.034910170168568e-12,4.760863500490073e-12,3.9591404636306286e-12,3.3295811617990067e-12,4.389051766542278e-12,3.666253032449765e-12,4.159967284096252e-12,3.5184575592712666e-12,4.1362495654191196e-12,3.65934082627495e-12,3.887884704407853e-12,4.027849517221504e-12,4.504535031275777e-12,3.4135926280294348e-12,4.548853182701805e-12,4.135076553565622e-12,4.217309750734369e-12,3.7451031690710485e-12,3.7117718362293665e-12,3.82979413929975e-12,4.285370228440458e-12,4.572573625162832e-12
MEG0242,3.930067511516762e-12,6.595008196386736e-12,5.176370000458444e-12,5.440124274606701e-12,4.685220452225987e-12,5.7399636960311044e-12,4.253507870402257e-12,5.380685460731713e-12,6.612204698166358e-12,4.4224371195855696e-12,4.636598868305372e-12,5.090132962364136e-12,5.054390766188389e-12,4.431752140305675e-12,5.235732295165724e-12,4.485347444566105e-12,5.468121669223416e-12,4.273694832829762e-12,3.982066800676207e-12,5.274244516081341e-12,4.577351249525772e-12,4.8171645781723554e-12,3.809395966655722e-12,4.813184529388692e-12,5.52858649372224e-12,4.4815655972331044e-12,4.527258948100072e-12,4.795774125109478e-12,4.009312657357804e-12,5.279213090542492e-12,4.298234830005597e-12,4.91872862093019e-12,4.689761185059102e-12,4.565205876435492e-12,4.834991130462273e-12,4.6265303996656525e-12,5.036926857976705e-12
MEG0243,4.356954593880114e-12,4.178105066266453e-12,4.0749936377090936e-12,6.102028822639561e-12,5.06441994887639e-12,4.95710442024552e-12,4.601743317549182e-12,4.987945040641826e-12,4.943204765027569e-12,4.072942547272648e-12,4.642714762667414e-12,5.675803140314884e-12,5.2805760209135515e-12,6.777450739678673e-12,4.503891491713424e-12,4.010703317916149e-12,5.5415337703643275e-12,4.4374013167548264e-12,4.950101743794485e-12,4.658760926557918e-12,6.484674926961217e-12,4.715624691261393e-12,4.353714105636695e-12,5.218014048049677e-12,4.281925427756057e-12,4.147341227800778e-12,4.807817201711315e-12,4.476468225393135e-12,4.886158639281742e-12,4.230342243147742e-12,5.0840976342178935e-12,5.039232953239158e-12,4.202795097089927e-12,5.473186807529723e-12,6.4024909162591124e-12,4.169540535675579e-12,5.652888264318956e-12
MEG0312,4.173537512929045e-12,4.295873190226094e-12,3.766436894963076e-12,5.576524392391528e-12,5.381508251608731e-12,3.875882671378566e-12,4.3129468079613136e-12,4.62581650916377e-12,5.2580716982036034e-12,3.817999365263995e-12,4.581911528403945e-12,4.553178898200897e-12,4.488779096284595e-12,6.017395301397353e-12,3.992302535047573e-12,3.9696993675865985e-12,4.335599573874836e-12,4.14450259647591e-12,5.2988699133949355e-12,4.309883582634448e-12,4.781682634872409e-12,4.935257903579285e-12,4.004740147306902e-12,4.710147281975479e-12,5.018830053628167e-12,4.18947185082709e-12,4.451525236339136e-12,4.265051523443308e-12,4.112692916052437e-12,4.2546115387783655e-12,3.9168902611590906e-12,4.358792729236111e-12,4.654169830076994e-12,4.021183064578403e-12,4.667854072041723e-12,4.467869858731741e-12,4.235009935979614e-12
MEG0313,3.757738981888412e-12,4.006336436967497e-12,3.817467798959706e-12,5.894718033991694e-12,4.297591610515548e-12,3.929916466946606e-12,4.032072138602695e-12,4.5020592245919005e-12,4.154292329604943e-12,3.399705378301177e-12,4.229313033889856e-12,6.284274317532221e-12,4.649328356265891e-12,4.3581016570459385e-12,3.965491461594112e-12,3.920689687289308e-12,3.738985960770558e-12,4.423443835616817e-12,6.401805479054535e-12,4.989764704571682e-12,5.848076992552701e-12,4.702684983536364e-12,4.226238691886783e-12,4.697075232883279e-12,4.363646869511059e-12,4.65918032008142e-12,3.912933657019494e-12,4.057632916791928e-12,4.341326732404527e-12,4.302302266509613e-12,4.221424877388747e-12,4.932159121075909e-12,4.254921308839536e-12,3.800328388407971e-12,4.2410542980923535e-12,3.6009726875983708e-12,3.928612906105972e-12
MEG0322,3.678947374063364e-12,4.2128352135064265e-12,3.960518327890298e-12,5.926413245959651e-12,4.044053117505732e-12,4.018509301447972e-12,4.0304913315653726e-12,3.920100946374576e-12,4.254051224328198e-12,3.3839446882139672e-12,3.931061174099243e-12,5.1002946373831055e-12,4.2670299904714665e-12,4.94130086847287e-12,3.454059232357988e-12,3.94651225830243e-12,3.736440585321794e-12,3.788044313413922e-12,5.2386732595067805e-12,4.918757907639378e-12,5.3417442838842735e-12,4.55418472322497e-12,4.040789653461459e-12,4.41237061541886e-12,4.757664570599619e-12,4.2836932826714844e-12,4.14048869447641e-12,3.878219789912928e-12,3.784066280556289e-12,4.466552721123984e-12,4.0396850175000896e-12,4.097858722000667e-12,4.5577631806477125e-12,3.8236688920900436e-12,4.647746088643527e-12,3.7306295881345735e-12,4.258352609465426e-12
MEG0323,4.100894923158626e-12,3.582431563387798e-12,3.578663213830717e-12,3.729183935549401e-12,3.801647469640227e-12,3.916385176880897e-12,3.6823628015813214e-12,4.341994942857867e-12,3.697560317776913e-12,3.915642357963156e-12,3.4754618301965757e-12,3.5136777779253056e-12,3.880328903816059e-12,4.200715510901221e-12,3.386809777707947e-12,3.545154143840881e-12,3.4990616099050063e-12,3.63591145427463e-12,3.620958561630853e-12,3.6028159264013157e-12,3.3592408869120796e-12,3.734742340797416e-12,3.27620636001825e-12,3.198883247043834e-12,4.024957826698377e-12,3.5897743423650862e-12,3.615403281058744e-12,3.557900806932775e-12,3.44345020486673e-12,3.9871953146578104e-12,3.890104624924989e-12,4.090576542648644e-12,3.8939030639969186e-12,3.798004611754506e-12,3.792303383780536e-12,3.945700830089145e-12,3.526629300411662e-12
MEG0332,3.1151235693429597e-12,3.7651109582720004e-12,3.5136355322993174e-12,3.5663542457728697e-12,3.3789484242710133e-12,3.801540298174345e-12,3.4765774479605974e-12,3.645383773617147e-12,3.6082683525653373e-12,3.5458995602241856e-12,3.161356963590505e-12,3.3063168030559135e-12,3.4936215292834816e-12,3.400458059569032e-12,3.196183575625842e-12,3.3319267907703544e-12,3.3729797556706255e-12,3.0540914551303062e-12,3.410560442004295e-12,3.7639080547988495e-12,3.4718314665705435e-12,3.3625015720142806e-12,3.2998045668083657e-12,3.119118162349303e-12,3.914545331959121e-12,3.3889213549166937e-12,3.4486313161566646e-12,3.0523270615918766e-12,3.2458991014551848e-12,3.2242679693589865e-12,3.2151124359453038e-12,3.3084430143829366e-12,3.2582913560364384e-12,3.505787436638347e-12,3.3295887507911246e-12,2.9850227634031683e-12,3.115425949155948e-12
MEG0333,3.369266922707789e-12,3.68426793167003e-12,3.632790845735241e-12,4.77138904594091e-12,3.695458382497101e-12,4.376503165457367e-12,3.6049283379438813e-12,3.502389904576293e-12,3.854795176578347e-12,3.5331383626324914e-12,3.7053745214410746e-12,4.166876858743367e-12,3.2530239071210703e-12,4.1325616411218536e-12,3.294123553657012e-12,3.922921974392499e-12,5.027327653004104e-12,3.541885822776538e-12,4.450170040583451e-12,4.383414474851902e-12,4.1306286061195086e-12,3.416765409586961e-12,3.083110709073989e-12,3.960585489595933e-12,3.72416068688251e-12,3.3787438543955344e-12,3.737535118793552e-12,3.7583951478323016e-12,3.2233010472087853e-12,3.6059707884722675e-12,4.673683944663137e-12,3.588860018687564e-12,3.812258674931832e-12,3.2864125315944573e-12,3.836796059868195e-12,3.733764417324814e-12,3.489292111292948e-12
MEG0342,4.0367287558187745e-12,4.249851690167009e-12,3.9046990466630645e-12,4.211235131655521e-12,4.2940944190236e-12,3.984679409862852e-12,3.7805644124744975e-12,5.366650365242909e-12,4.513197795805565e-12,3.834700558208231e-12,3.903637843647018e-12,4.2093409998181e-12,3.5585394476961396e-12,5.756634144472353e-12,3.954177513442588e-12,3.948003896314954e-12,3.99159128991066e-12,4.036501698783836e-12,3.993270070268501e-12,4.1169205812213665e-12,3.4615854896230465e-12,3.992842060609647e-12,3.5339609707831877e-12,4.115616487265062e-12,4.284215630909934e-12,4.234043934150872e-12,4.1063335752642074e-12,4.144885877551333e-12,3.754303824784486e-12,3.9899339428748e-12,3.778891025279276e-12,4.450454623952985e-12,4.452690813983482e-12,3.808362748909851e-12,4.356239373416519e-12,3.885706417761901e-12,4.015053721839986e-12
