,delta (0.5-4 Hz),theta (4-8 Hz),alpha (8-12 Hz),beta (12-30 Hz),gamma (30-100 Hz)
MEG1022,0.1770473675644056,0.13184919489073454,0.09049859487535943,0.20292198706121686,0.3872314054426675
MEG1023,0.42665409789208775,0.1504388930136979,0.057296047142987035,0.13493531050916424,0.22614535131451183
MEG1032,0.18008203829433037,0.11794155850663583,0.07734205340226356,0.19948165887209326,0.41237730212471574
MEG1033,0.21398187378513012,0.1402470537942137,0.09802799474721115,0.188732705561428,0.3488723904380216
MEG1042,0.1456112300527942,0.12224870176028077,0.08975133438679275,0.19060694798382646,0.43512875612389046
MEG1043,0.1378638362708402,0.09368585958221115,0.08022205797703634,0.2020886458389799,0.46626281670421965
MEG1112,0.18184652065119178,0.15172446700249392,0.10762883909038583,0.19817945541165893,0.35112268723561646
MEG1113,0.30202415786007036,0.17057821674606655,0.0818651186510082,0.18330608097072268,0.25346152910200054
MEG1122,0.16804989278218824,0.11960045432117619,0.09350859278304459,0.20076369739235717,0.4030325415776227
MEG1123,0.25306766876526227,0.16973297315275063,0.11035117828813737,0.18657603685844104,0.2733923857448906
MEG1132,0.19472831117972736,0.13023875176568192,0.11267033691613518,0.22489188336138954,0.3314407594295952
MEG1133,0.23880687912215645,0.15756005603543866,0.1351283874457085,0.1911497085123825,0.2693531954976523
MEG1142,0.20182777566453655,0.1509716559042733,0.12803558445441002,0.20054631139792875,0.3104329075795953
MEG1143,0.18190477170005925,0.12966235120747313,0.10485793145657095,0.1925395926423564,0.3776595902950874
MEG1212,0.21733665313361356,0.14652563406394115,0.07879316113955517,0.19207307663698966,0.35355464096598055
MEG1213,0.23164832797037457,0.13904665899926813,0.07968353637182421,0.2037754802424704,0.3350063574897607
MEG1222,0.2204456184221358,0.1601943179616571,0.11553750374486209,0.1863123117725192,0.3059385214483567
MEG1223,0.2900746888532663,0.17252535049266096,0.11546610742960967,0.1894463717600871,0.226721056330297
MEG1232,0.2577419742110732,0.17145199971317376,0.1021891028774412,0.17841952820337909,0.2822151971084301
MEG1233,0.22038942484194923,0.12809543146979563,0.09431893255856812,0.19381891200363238,0.3530881256943945
MEG1242,0.16240821761616958,0.11640906844692002,0.08243130285931519,0.1935199573590141,0.4291920210037948
MEG1243,0.1792673621848394,0.11559332946214275,0.07409343803074178,0.19076877624443822,0.42500049630954884
MEG1312,0.24998032440272322,0.18804903220398786,0.12099407793867172,0.19225641095902804,0.2432535678879727
MEG1313,0.2126775726243287,0.13260978329096582,0.11956645856963237,0.19787795688083856,0.3223020088863325
MEG1322,0.19578982814179696,0.10940914874489312,0.13721610898261424,0.22779188135399894,0.32030282251130465
MEG1323,0.2620327042852078,0.17087919423975897,0.12520622966748304,0.20036421676263225,0.2362543254674069
MEG1332,0.20766346596200538,0.14028706798453558,0.15766468762517108,0.21186632711276468,0.27610396400935416
MEG1333,0.25034737036370075,0.16797151020434795,0.12311050824195602,0.20775503849133073,0.244493203684438
MEG1342,0.27123138973162997,0.19844296574723583,0.13482696233118807,0.19607448176545192,0.1967587632865174
MEG1343,0.24792741768562868,0.1644447907234031,0.14756613092493373,0.1975767236134873,0.24149126245332067
MEG1412,0.31440088353799,0.1573901644661747,0.1103353568762535,0.19934131302972863,0.2116626978702045
MEG1413,0.2085451070630466,0.14903942859381578,0.09572981162840706,0.19014532754139712,0.3409196095793676
MEG1422,0.20561573057390747,0.08969727330473752,0.06949626389086926,0.196856378447802,0.4215799152988484
MEG1423,0.3823822618120915,0.14323692954237036,0.10952354019049973,0.2003998042990612,0.15803491827101462
MEG1432,0.2194654052891778,0.10251383253178828,0.08428930094493706,0.1801194227126608,0.39777758135490754
MEG1433,0.36970778850224306,0.13168301716116124,0.10372837057298954,0.21872217705231473,0.1702704758922186
MEG1442,0.2832933310977007,0.15701175431144587,0.13193259263105905,0.19588722165062694,0.2274460666542384
MEG1443,0.21027646562246735,0.10252800871810422,0.13198356342985887,0.22043427324691164,0.32880166870452243
MEG1512,0.37175664517057533,0.13862217403047203,0.10907249266907307,0.16083015346885668,0.2103952427378553
MEG1513,0.26681671832721254,0.11125846850462538,0.10555886940740879,0.18248008983737296,0.3238118978803429
MEG1522,0.33522180712667343,0.13778786038733917,0.13068633051364806,0.17094918729804448,0.21845842879957997
MEG1523,0.21409104724086184,0.1289653229831837,0.09303362539441869,0.20797286735533588,0.34378758383499153
MEG1532,0.21035498212994266,0.0924027691158235,0.08409149026085296,0.21038671523335956,0.3878614566256601
MEG1533,0.3374156407387956,0.13231560791190375,0.09621389519679674,0.2382516312663918,0.1926404102430302
MEG1542,0.19493653997585242,0.11045197107289255,0.09392393981053446,0.2163076947903018,0.3720242984015825
MEG1543,0.356044724939787,0.1271917688729021,0.09841151907451154,0.24311188250283491,0.1713340644722542
MEG1612,0.23811900448162432,0.15020021655571036,0.1342116465205783,0.20965017894876814,0.25713009444796026
MEG1613,0.32674421705837364,0.1156549397174141,0.12132999247288015,0.17785182087517332,0.25205924416831
MEG1622,0.28326106890221603,0.13856313406498275,0.10355564902044076,0.22000623481463683,0.24952916097016836
MEG1623,0.21332412809756876,0.12376272084488875,0.13431653017347203,0.19770858109536768,0.31777551643604773
MEG1632,0.281049212265894,0.14450140742120687,0.10375658412638615,0.21453550776594185,0.24938692957899844
MEG1633,0.21057608479490064,0.134650086160419,0.14310811146393973,0.2017748724053379,0.2998211754570549
MEG1642,0.20977049887149096,0.15238664699728224,0.12907847691348784,0.21405504102260323,0.28483039513727043
MEG1643,0.25679241755480436,0.1297699339666954,0.14139295198236002,0.19163857375851565,0.27312106392073277
MEG1712,0.22432473089076074,0.10537114738337122,0.12959743408150695,0.2602071283435861,0.27525037875722985
MEG1713,0.2683193560031294,0.0970318225511702,0.08322100509528532,0.22129875049880499,0.3223947973058013
MEG1722,0.2855572647633187,0.14717823207178918,0.14414880313539738,0.17499184973310486,0.23959751464020923
MEG1723,0.19957641518470226,0.12564163120049576,0.10277206820116258,0.21901972351113153,0.3413270285016993
MEG1732,0.20173698553654373,0.12173919381736616,0.12977804719952285,0.1968684016505683,0.3420892313561105
MEG1733,0.19563257105463197,0.13398748903224536,0.12380691565355885,0.20513008647259903,0.33336338115484554
MEG1742,0.1606165030750966,0.08093606400900163,0.131813876332776,0.2593222588768963,0.3560783104730268
MEG1743,0.2226624323160066,0.08981156067707732,0.07232748331687851,0.1948336701386352,0.41003807760863664
MEG1812,0.2010216536756037,0.129153004028842,0.15082274663229647,0.20382227566475503,0.303206589692289
MEG1813,0.48206984988962404,0.1514243986373597,0.08258999711511512,0.14464854933052532,0.13447890305803475
MEG1822,0.24843189689911147,0.1273170101482102,0.11099870689782247,0.21480480670347968,0.2895362104144801
MEG1823,0.14677771332706446,0.1098345617350425,0.10097524673960238,0.2130611262082892,0.4122742850307571
MEG1832,0.13684175176278396,0.1032808480335678,0.10756905210045535,0.20101377150377508,0.43675909473909896
MEG1833,0.15849116133780144,0.1011107770944013,0.1154035838969034,0.21801666971747957,0.3888223526236954
MEG1842,0.158373984181168,0.1167345127570496,0.1161857630896448,0.2117627388858413,0.3845663045267273
MEG1843,0.229596704735867,0.13299272911381502,0.11636835185775408,0.2105676434577982,0.2990003717585146
MEG1912,0.2551970884695313,0.17156330820595583,0.12798892503540757,0.22758067461091464,0.21212229937403076
MEG1913,0.1819242402816275,0.1264363638890587,0.13576497307607824,0.22804717348065992,0.3200523649024023
MEG1922,0.16955072791375178,0.13341610233032306,0.16035839467540597,0.2272922074020432,0.30061417484110287
MEG1923,0.22670084922656983,0.18737153560339123,0.20019444141823123,0.19665398962265648,0.18470440023064846
MEG1932,0.23798636146208466,0.16206106876614848,0.1386114294700166,0.1994959704247525,0.25459537018397327
MEG1933,0.09370185417605072,0.061413338850096866,0.08475726296963225,0.20055918041894882,0.547962434881408
MEG1942,0.18948313511178663,0.16694040591013262,0.13697877958069066,0.21297995697351876,0.28679208175618814
MEG1943,0.2160972097236498,0.15816390146495546,0.16034634901123096,0.18372865580880643,0.2731747137031894
MEG2012,0.17543806147745417,0.11704385975098648,0.13555640126492122,0.2199417240798377,0.3370204568664201
MEG2013,0.22469336327996114,0.14295921439927517,0.1354846355350312,0.20659434255900452,0.2823926837669445
MEG2022,0.19859809884392207,0.12472324911968043,0.17409209979437865,0.19714276421056273,0.2940254181768002
MEG2023,0.19219865572911143,0.14748065557139386,0.1360079887371447,0.20875230139541623,0.30302819080990845
MEG2032,0.19123017039250154,0.1530800294223623,0.1818975346910061,0.21859646017760473,0.24713027245494637
MEG2033,0.23335576388190896,0.14272345589631516,0.21591328396127957,0.1930999418564196,0.20527408653495227
MEG2042,0.2108543716319749,0.17141755821862056,0.14217635483048363,0.21272080719855052,0.2544818324243537
MEG2043,0.21773090139000192,0.12625831495579937,0.18920541632546675,0.22433585550138627,0.23108893759558097
MEG2112,0.2680820595910109,0.14513497459376443,0.1802374624371769,0.21028860053183054,0.18728466512949302
MEG2113,0.1878320643843952,0.14548015252045243,0.1813963205738121,0.19862712482629893,0.28304050907894945
MEG2122,0.24208419747554266,0.17607101644101705,0.13028860818504498,0.1978398318122357,0.24424576667739575
MEG2123,0.24537819051923593,0.13517346639076283,0.1227540290573822,0.20707483966091408,0.28025873304075277
MEG2132,0.11245137070725227,0.08143420781060663,0.10531170322032841,0.29571639657070964,0.39654017967952104
MEG2133,0.1632809812751554,0.07816330363691572,0.07654154550756165,0.17674560198179273,0.49468120694062645
MEG2142,0.0800243560537176,0.05837506684746773,0.0807042776742588,0.21566038485514663,0.5490609862598346
MEG2143,0.20318490171447415,0.08751901931518175,0.07582504127903172,0.1837407393212773,0.4383532045335455
MEG2212,0.17205892752113738,0.14463376453320795,0.11256825819917529,0.20162745235580276,0.3578149334846528
MEG2213,0.17407779167126075,0.11760839601182747,0.09550947691276584,0.2028135473844489,0.39633164601871146
MEG2222,0.23026646351246188,0.1540311258210681,0.14476278126165718,0.1920720268132452,0.27244516629789833
MEG2223,0.19617266884940252,0.147947637794207,0.15797133015899037,0.20077340457281115,0.2875973761759799
MEG2232,0.18623698122792698,0.1368619659066708,0.14073082183652605,0.20957909697204782,0.315423080868668
MEG2233,0.17912673055712233,0.1423875700467089,0.17543301079418003,0.20393992800490177,0.28651873469086847
MEG2242,0.15651605835368798,0.12888118808377358,0.10186785472336554,0.20838297717496548,0.38635026240977793
MEG2243,0.1978839597456012,0.11896117497567253,0.12898041408311006,0.21618136478474595,0.3257723959218907
MEG2312,0.19132271072800633,0.15716102181888802,0.19794438573687448,0.20194163536026286,0.2429155303411461
MEG2313,0.20374289841690324,0.12268047116106502,0.16423464453140513,0.2167033603879598,0.2823571266318195
MEG2322,0.21701728089698905,0.1326630351275115,0.13464966350918645,0.21389859329485583,0.2923493808608535
MEG2323,0.2571468342536452,0.18555809843377238,0.17602792617010513,0.19099158808415181,0.1871439362956905
MEG2332,0.261394294802243,0.1642091485813952,0.11894208651040801,0.20565262312793026,0.24215380790547272
MEG2333,0.18141750526170206,0.12111459289810816,0.10821513134922559,0.19845575890480843,0.37892973429296567
MEG2342,0.23658108491232524,0.19283363568736847,0.17996271120123958,0.2032523691252611,0.17964794977220278
MEG2343,0.20511479467915353,0.16063138017378562,0.17304512633659458,0.21116676459829598,0.2485523067408291
MEG2412,0.22531987783362417,0.18987803178713206,0.16720650390692113,0.19819251943560626,0.21556489225382483
MEG2413,0.24840246643651032,0.16491892227403818,0.16273170849920646,0.19565515338030295,0.22217459509406984
MEG2422,0.228447563566663,0.16827301903552006,0.13754059810272812,0.20456822295501495,0.2534682944773095
MEG2423,0.2411582035524836,0.18427120984468817,0.15149789200786984,0.2039701367444678,0.21630671394220452
MEG2432,0.22813305079056162,0.16816690848695662,0.17097060357817265,0.21130272251768836,0.21453503534140575
MEG2433,0.26342275343453425,0.18952403733474726,0.16563692532426436,0.1841165844987665,0.19538536476242127
MEG2442,0.21603365372097683,0.17560429306425238,0.2143719506988142,0.19641847153378114,0.19117779782608676
MEG2443,0.1794284243289364,0.15968881035001492,0.14038110256550537,0.22057534174607327,0.28799693939892007
MEG2512,0.24894508739100973,0.1545413466030089,0.1164801496101775,0.1919161302830069,0.28347180761520846
MEG2513,0.1743437289208885,0.12374709684758121,0.09920290933762645,0.21421075364645187,0.3797899347667075
MEG2522,0.28080001616323796,0.13582214135487053,0.12822181280083064,0.19351797041597724,0.2557984546422918
MEG2523,0.1907486659018746,0.15330911702151598,0.18888141473234957,0.21839748506858175,0.24213935066384823
MEG2532,0.13085662011787016,0.0956134300837073,0.09557511124705297,0.25161733835239625,0.41694270308553644
MEG2533,0.25675767142362316,0.13850325632002913,0.12424894821047479,0.2378015906270571,0.23890996304016626
MEG2542,0.10262235284328372,0.0686183614225587,0.07284159353585581,0.2575207504100339,0.4826135272448663
MEG2543,0.22952739116201915,0.12958445596298032,0.11587065932688567,0.21046882420623966,0.3072405727592192
