,delta (0.5-4 Hz),theta (4-8 Hz),alpha (8-12 Hz),beta (12-30 Hz),gamma (30-100 Hz)
MEG2131,4.384520131589281e-27,2.3240329608359742e-27,2.4071924823400614e-27,5.23891807216985e-27,1.7616476765197943e-26
MEG2141,3.423086626164738e-27,2.1655991237596326e-27,2.185145478502829e-27,3.73606088743733e-27,7.813394078826993e-27
MEG2211,1.1244230954046616e-27,8.443338498293767e-28,6.629900620288907e-28,8.399502210255442e-28,7.6200246326023405e-28
MEG2221,2.179394526944425e-27,1.4713370954953192e-27,1.1125011528010874e-27,1.3771017272608903e-27,8.619892742125135e-28
MEG2231,1.687406463840628e-27,8.405194870988383e-28,1.0383606735934937e-27,8.525752011923995e-28,6.033534099392243e-28
MEG2241,3.292427994125468e-27,1.627250176105312e-27,1.4448315074795839e-27,1.9012120762791764e-27,8.512545048271415e-28
MEG2311,5.3214633999225556e-27,2.750003167559186e-27,2.4417781127859105e-27,2.487571894244327e-27,1.5855566882002085e-27
MEG2321,9.318709886535842e-27,5.401737338555391e-27,5.315926918422946e-27,5.165135771354323e-27,2.279330699399609e-27
MEG2331,5.575323424635111e-27,3.487947832576863e-27,4.4365380984562185e-27,6.637610066527625e-27,1.2265138971721145e-26
MEG2341,2.4882308474588476e-27,1.4494395876796455e-27,1.6268369454257486e-27,1.8486390189233936e-27,2.676021922173714e-27
MEG2411,5.036940329619072e-27,3.0174081494210386e-27,2.5561872356851416e-27,3.2891861033678045e-27,1.4854875783310002e-27
MEG2421,4.465146562958707e-27,2.8378350255854026e-27,3.408206657364512e-27,3.8463483509698834e-27,2.0635873471848126e-27
MEG2431,7.646064839470937e-27,4.05564063100474e-27,4.642772994965081e-27,4.820602842362544e-27,1.7946055888411987e-27
MEG2441,5.825769334015769e-27,2.650207432027324e-27,3.1557789872754554e-27,2.8406043291678833e-27,1.1341518305872789e-27
MEG2511,5.759068113174689e-27,4.5649512032163095e-27,4.710627879417224e-27,4.960327430089501e-27,4.491641148918363e-27
MEG2521,4.29710247521443e-27,3.361799754346234e-27,3.383775370810492e-27,4.112030709240115e-27,3.918845605147422e-27
MEG2531,6.472835645692316e-27,3.0683611366242216e-27,3.0902375523811986e-27,5.54648310968307e-27,8.778036950465619e-27
MEG2541,5.902886907983934e-27,3.186573889014447e-27,3.0994227821114776e-27,6.42903598913712e-27,1.2161313613338617e-26
MEG2611,2.6695973329676487e-27,2.0246112077140825e-27,1.805099538342685e-27,2.650479013733701e-27,3.218485521954921e-27
MEG2621,9.392156607171808e-27,4.248495733960915e-27,3.7056617296431184e-27,6.154285021788774e-27,2.6696873536056125e-27
MEG2631,7.533992935648547e-27,3.2364391492604735e-27,3.231092701963268e-27,4.424699756480652e-27,3.833060821388227e-27
MEG2641,2.6974679029196243e-27,1.826283617459483e-27,1.953286868579798e-27,2.6381701792862966e-27,2.848853768081165e-27
