,delta (0.5-4 Hz),theta (4-8 Hz),alpha (8-12 Hz),beta (12-30 Hz),gamma (30-100 Hz)
MEG1122,2.924834261335429e-24,2.0815931547380075e-24,1.6274758131241122e-24,3.494203601347269e-24,7.014603618743095e-24
MEG1123,4.807421592897597e-24,3.224346927216994e-24,2.096295587233483e-24,3.544307626046494e-24,5.193521815633003e-24
MEG1132,4.112415256747194e-24,2.7504774551583556e-24,2.3794547886214028e-24,4.749431691010692e-24,6.999608980987478e-24
MEG1133,5.204447207042096e-24,3.433791340472965e-24,2.944925879937395e-24,4.165828766118991e-24,5.870159566460991e-24
MEG1142,3.3019181516824158e-24,2.469908065817639e-24,2.0946721479702047e-24,3.2809532963312986e-24,5.078706580606308e-24
MEG1143,2.0599833103475707e-24,1.4683632373769822e-24,1.1874652145699338e-24,2.1804174993186553e-24,4.2768116841012366e-24
MEG1212,3.1687306263286843e-24,2.136318276306568e-24,1.1487905939853854e-24,2.8003920721951824e-24,5.154765212201911e-24
MEG1213,4.9281502031463964e-24,2.958116843743014e-24,1.6952094556385058e-24,4.3351755790856234e-24,7.127017333488543e-24
MEG1222,4.952745446235209e-24,3.599081190527685e-24,2.59577781421801e-24,4.1858734154647244e-24,6.873512069673919e-24
MEG1223,6.974232008622147e-24,4.148006937321315e-24,2.7761381923051555e-24,4.5548370837514824e-24,5.451027989854128e-24
MEG1232,4.275164294570097e-24,2.843873100801725e-24,1.695009923211094e-24,2.9594434463533263e-24,4.6811014688471636e-24
MEG1233,3.7252014135375215e-24,2.165173227895071e-24,1.5942553556846088e-24,3.2760849822264547e-24,5.9681828467193856e-24
MEG1242,2.1703474416267145e-24,1.5556363316727144e-24,1.1015733680021595e-24,2.5861101767059277e-24,5.735521382013148e-24
MEG1243,2.9697754395919375e-24,1.9149399345954244e-24,1.2274452517003284e-24,3.1603099383344115e-24,7.040634839336205e-24
MEG1312,6.506507479705529e-24,4.894554951514832e-24,3.1492433454073283e-24,5.004064935570701e-24,6.331422933823944e-24
MEG1313,3.9575774160110496e-24,2.467648454975882e-24,2.224933782667539e-24,3.682181076334291e-24,5.9975066282923634e-24
MEG1322,6.32121571019514e-24,3.532353220027438e-24,4.4301209721915275e-24,7.35442506250616e-24,1.0341207471779141e-23
MEG1323,8.76994041159285e-24,5.7191347742323975e-24,4.19051192994928e-24,6.70596537335723e-24,7.907167015591443e-24
MEG1332,6.445624467805919e-24,4.3543420299231475e-24,4.893722463688991e-24,6.576076228025897e-24,8.569935293300505e-24
MEG1333,8.723448196272604e-24,5.853030393682797e-24,4.289831922361636e-24,7.23930238676286e-24,8.519457558445244e-24
MEG1342,7.761246405663638e-24,5.678416337278969e-24,3.858053737124108e-24,5.610642515787729e-24,5.630223131073764e-24
MEG1343,4.862510649047547e-24,3.2251961220636437e-24,2.894161080526705e-24,3.8750007221577044e-24,4.736280667514388e-24
MEG1412,9.440267953421145e-24,4.725830630861374e-24,3.312952946973262e-24,5.985464760820408e-24,6.3554292887262544e-24
