,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
MEG0331,6.688048453429585e-14,6.300501963893151e-14,6.002718781330363e-14,7.491451572740944e-14,6.496245418872666e-14,8.132958649540398e-14,7.261965036144335e-14,9.34510424157362e-14,7.438220619043415e-14,7.203163323022041e-14,6.879834294428074e-14,7.00616370396439e-14,6.917701245737335e-14,6.97059516623727e-14,7.042794093742918e-14,7.190963929157274e-14,7.974761547912136e-14,6.582456230896898e-14,5.906949394810196e-14,8.908585259668069e-14,5.987708003131022e-14,8.924225176218708e-14,6.744768317172612e-14,8.40519613047198e-14,7.647969528194245e-14,7.980862413545737e-14,6.191948915525433e-14,7.534532260363845e-14,6.828390613824432e-14,7.207044152813088e-14,7.319784696575395e-14,6.827209383779088e-14,5.186078836134049e-14,7.052290746422317e-14,6.318849686241469e-14,7.994930376835059e-14,6.46818628504993e-14
MEG0341,8.301063192387862e-14,7.770189546200955e-14,9.759088000390752e-14,9.450637166599884e-14,7.500728926642609e-14,1.0600048801356059e-13,9.260558215652679e-14,9.610084107709932e-14,1.3818544300914453e-13,9.308887104405606e-14,9.129666290072718e-14,1.0737234302526048e-13,1.1146479632585732e-13,1.372381722781296e-13,8.758629922915614e-14,8.246117163796909e-14,1.092014554133051e-13,1.079417464375065e-13,9.319523176711773e-14,1.4259270703417272e-13,1.0294071060229978e-13,1.0311654578878618e-13,7.928733317356659e-14,9.589141710957499e-14,1.3435599707599482e-13,1.3600444308003438e-13,8.105282285908406e-14,1.270561508762976e-13,9.840138742888081e-14,1.3001416841074864e-13,8.115859790253091e-14,9.018725295375023e-14,1.0672333811631886e-13,8.361470552687858e-14,9.293659643388872e-14,1.029135580388806e-13,1.1167373665576407e-13
MEG0411,8.193084227528517e-14,8.327280757476307e-14,7.451236734596385e-14,8.005085142822741e-14,6.957361511239727e-14,9.523297865352067e-14,7.964346131760473e-14,8.570039281702076e-14,8.042656298548655e-14,7.88962471082841e-14,7.434385749999297e-14,8.599619887669952e-14,9.466366382295522e-14,1.0890219574962815e-13,8.560449953615907e-14,7.206000822332141e-14,8.95456129872712e-14,8.083261990912297e-14,6.73212289800103e-14,7.530175742367972e-14,8.669548694917144e-14,8.84349382848351e-14,7.438278790637994e-14,9.059994147184226e-14,7.022020725488051e-14,7.896599470162871e-14,7.51535011629934e-14,8.263547099217652e-14,7.43831476859542e-14,7.372041724802968e-14,8.512837090626383e-14,7.612353556611008e-14,6.772781070556838e-14,7.704841858337452e-14,8.721257179203948e-14,9.163170468969454e-14,7.8319041227489e-14
MEG0421,5.6814280642557896e-14,4.8989721728309376e-14,5.0563828703360317e-14,6.777840470278683e-14,4.785336584369046e-14,6.493469124313303e-14,6.06055107712689e-14,6.957865496773777e-14,5.480835368373244e-14,4.891933633788075e-14,5.420155707762345e-14,4.6301268158681303e-14,5.3663819015619865e-14,7.167570864326566e-14,5.559281507987971e-14,5.694307405237482e-14,5.5921082973819667e-14,5.573412512706406e-14,4.5552484173315985e-14,5.534132821993139e-14,4.7626554544339966e-14,4.930249701272002e-14,5.0513133312704856e-14,5.389147905533974e-14,5.124572214066162e-14,4.30770111372283e-14,4.5737175534831784e-14,5.24863763705186e-14,5.210884488678738e-14,5.025572056045436e-14,6.39870056795491e-14,5.480044600341163e-14,5.642127126432445e-14,4.493714055601868e-14,4.754725931206084e-14,5.4271598842241464e-14,4.8466190241156835e-14
MEG0431,7.285975478016615e-14,5.4753341798823775e-14,5.78163468220127e-14,6.325962627122355e-14,5.487391607637927e-14,6.805897693927386e-14,6.782652318823396e-14,8.50012532354232e-14,6.219169642611663e-14,4.44244525732808e-14,6.88735369737805e-14,5.441490478278902e-14,5.991163403906055e-14,7.398561414419206e-14,5.896152993526377e-14,5.988150650727727e-14,6.193887432811088e-14,5.7454270334491e-14,4.7498642833351623e-14,5.906864509037403e-14,6.051670055756321e-14,5.2319347464462124e-14,5.5717542415588916e-14,5.526126509546847e-14,5.818417801412533e-14,5.103140371868173e-14,5.623170274125735e-14,6.478979060944286e-14,5.972349419651907e-14,6.488577783656837e-14,6.168727122025917e-14,6.07036496573896e-14,5.5884906024585586e-14,5.3404243200809357e-14,5.703247460926129e-14,6.295613669403458e-14,5.4926511252767735e-14
MEG0441,7.331515232649508e-14,8.558426742987428e-14,7.14023809656509e-14,7.277372502114261e-14,7.769317000912537e-14,7.548924824039236e-14,7.051266480865838e-14,8.945693312448064e-14,7.558537823913769e-14,6.900459799225471e-14,7.272116230111101e-14,1.0346767140262572e-13,1.0194703886478574e-13,1.1045240659371241e-13,8.227514494210738e-14,6.110947365627289e-14,8.790907933918928e-14,8.063294712552251e-14,8.520449665967533e-14,7.514356091525563e-14,8.581600417832941e-14,7.617535208198007e-14,6.349455100441706e-14,6.661980028697871e-14,7.185508631768471e-14,5.913284834302421e-14,7.994213418191048e-14,7.930424070445531e-14,6.558988435264935e-14,7.390617103260621e-14,7.931329113282345e-14,7.209739223301798e-14,7.90514002735548e-14,6.980730221135024e-14,7.92856838555917e-14,7.700653681916717e-14,7.300642217731133e-14
MEG0511,1.3727821336462475e-13,1.1955224783321802e-13,1.8758209908195578e-13,1.6970375767393896e-13,1.6087555534035197e-13,1.6313833784652928e-13,1.4438867873759777e-13,1.84947743712373e-13,1.7624157380657052e-13,1.4157833165896396e-13,1.3169588806462317e-13,1.913039950846288e-13,1.5558596544000176e-13,2.3999509893443273e-13,1.3618902345157334e-13,1.626583035191124e-13,1.6894596348115124e-13,1.476866357611276e-13,1.4783989314199874e-13,1.9355895949434866e-13,1.480737207732649e-13,1.5594048216579316e-13,1.6203587650919398e-13,1.459052298820773e-13,1.796465284854592e-13,1.514117790832011e-13,1.2371763205079643e-13,1.2933489119452088e-13,1.3566012409223127e-13,1.8607864254925543e-13,1.6656527114518559e-13,1.4314686571744678e-13,1.8636631394009472e-13,1.4373218730942795e-13,1.449474529833528e-13,1.4601325443321793e-13,1.406542576126602e-13
MEG0521,1.4580533789254125e-13,1.1787191213409728e-13,2.008067094090638e-13,1.8583879769714842e-13,1.6563223992963376e-13,1.7275949933546045e-13,1.455551425456561e-13,1.8608431061156816e-13,1.8744952222435752e-13,1.6007746530577562e-13,1.2880525868213897e-13,1.9149510092729642e-13,1.5083594408863913e-13,2.105427729778041e-13,1.409618871417127e-13,1.815202603470751e-13,1.665246491963278e-13,1.6175119918148386e-13,1.5080350764892044e-13,1.8341838989062025e-13,1.6444864581036597e-13,1.712251902015698e-13,1.626128875298246e-13,1.5549275388549468e-13,1.7743991922894828e-13,1.6061643008991151e-13,1.3633004511612502e-13,1.3805655228636641e-13,1.4805458685749507e-13,2.060146754844919e-13,1.7527905419977517e-13,1.5661582931974573e-13,1.7691354271946995e-13,1.3803069585319697e-13,1.5562795481715329e-13,1.800235421130371e-13,1.4396690160012836e-13
MEG0531,7.928668668314882e-14,6.970764350340864e-14,9.647540942689513e-14,8.784525755671763e-14,9.018448727662126e-14,7.072964189426787e-14,6.47551184077697e-14,8.700161878920492e-14,8.268034909097477e-14,8.812042664843592e-14,5.773392864027051e-14,9.610062271708936e-14,7.966582030426003e-14,1.0971718404875389e-13,7.478090146789109e-14,8.618933342070433e-14,7.692841980825349e-14,7.021266551649303e-14,7.619071294770113e-14,8.19776274243715e-14,7.764429248501866e-14,7.707601030091403e-14,8.255936351112615e-14,8.200270200220962e-14,8.621654845789551e-14,7.596345859842637e-14,7.357773489979249e-14,7.054924514123983e-14,7.532165484522621e-14,9.443810064114524e-14,8.886562150243506e-14,8.211867034307204e-14,8.143931648605739e-14,7.946674231436114e-14,6.920311704813975e-14,9.620187219729092e-14,7.867763921953472e-14
MEG0541,1.0013821518627902e-13,8.40508322341275e-14,9.954590082820757e-14,9.459921362253045e-14,9.760162691844958e-14,8.577990286972319e-14,9.782068038495723e-14,9.882454274015986e-14,9.585279245399487e-14,9.230281293308161e-14,8.756045171038937e-14,1.0328455702420211e-13,9.157993417695249e-14,1.4838397631226248e-13,8.777647856352369e-14,7.979469710383289e-14,9.031059630463972e-14,8.722044844653869e-14,9.441479861567337e-14,1.0651535616689834e-13,8.181934101193312e-14,9.619883537813738e-14,8.676795458137571e-14,9.020358575999734e-14,1.0033113361860381e-13,1.0502925398960832e-13,8.295715825625043e-14,9.401301091683532e-14,7.988575504558837e-14,9.862392260200977e-14,8.566546871349342e-14,7.569813738745134e-14,9.864569835426637e-14,9.520719561485024e-14,7.914431453171266e-14,8.362789323987142e-14,8.016780508419607e-14
