,delta (0.5-4 Hz),theta (4-8 Hz),alpha (8-12 Hz),beta (12-30 Hz),gamma (30-100 Hz)
MEG0522,7.081786545131721e-25,2.109474773827358e-25,1.310091839436026e-25,8.457545496807754e-26,4.101741367931909e-26
MEG0523,6.453077979904939e-25,2.0916761811257157e-25,1.436730242153395e-25,9.38640954308165e-26,4.4156001799663915e-26
MEG0532,5.223546354542823e-25,1.6783252453519799e-25,1.1511264791149956e-25,6.695191796562746e-26,3.3413551454895387e-26
MEG0533,4.2776036234551785e-25,1.552403355977924e-25,1.0897473142783886e-25,6.813223757113465e-26,3.456735130744369e-26
MEG0542,6.998450711042159e-25,2.012480659183591e-25,1.3498145919672414e-25,8.547297389714848e-26,3.8388033104733165e-26
MEG0543,4.98739251925252e-25,1.7396361233283082e-25,1.167464861551128e-25,7.048460001067291e-26,3.5390028426856136e-26
MEG0612,4.284107569374622e-25,1.5371505680905754e-25,1.0792802580923347e-25,7.049845430814207e-26,3.419925269345169e-26
MEG0613,2.75806670286833e-25,1.1588108564149595e-25,8.209495866901454e-26,5.301968874844905e-26,3.016337143113188e-26
MEG0622,2.540619211892777e-25,1.290101701965461e-25,9.269967801933717e-26,6.506685478157776e-26,3.556061690348946e-26
MEG0623,4.275810512577367e-25,1.767140762678555e-25,1.1309843894836282e-25,7.184899868097373e-26,3.657070832218453e-26
MEG0632,4.280827955691973e-25,1.622028724993205e-25,1.1670823859399924e-25,6.310049620204847e-26,2.749256761739343e-26
MEG0633,2.664911288323683e-25,1.362077926375273e-25,1.0886462230958084e-25,6.61589399149828e-26,3.5798206341501207e-26
MEG0642,3.1183550204835375e-25,1.513864354038762e-25,1.042902580242928e-25,6.472516008498395e-26,3.524935674864934e-26
MEG0643,4.295414744237067e-25,1.7538145408323897e-25,1.1852612882146403e-25,7.560854501043437e-26,3.554521959174146e-26
MEG0712,2.7075475366361257e-25,1.4633413263331918e-25,1.2535787618951132e-25,7.304081571017574e-26,3.472528585517968e-26
MEG0713,4.199395072327348e-25,1.908760544742329e-25,1.5961385633602202e-25,8.046435374982646e-26,3.891739480447367e-26
MEG0722,3.331219343517769e-25,1.8535960401722446e-25,1.4739453063022525e-25,9.12921323470658e-26,5.161449830010287e-26
MEG0723,4.56375066520994e-25,1.9790367095663909e-25,2.0791762366242584e-25,9.214901803934014e-26,4.678525401269528e-26
MEG0732,4.4598412646727125e-25,1.630515421828923e-25,2.2752205845877213e-25,6.973631130336516e-26,2.5404695759601415e-26
MEG0733,2.381390927449762e-25,1.284210862866581e-25,1.3393345801776298e-25,6.512554322205696e-26,3.299162096318897e-26
MEG0742,3.798402328807871e-25,1.6589576815336338e-25,1.8634156623460154e-25,7.410676083681391e-26,3.0335438361038e-26
MEG0743,2.681639950958019e-25,1.357809698417554e-25,1.3885959383197057e-25,6.88353173161985e-26,3.554072520303635e-26
MEG0812,6.465422921677666e-25,1.8234166288069235e-25,1.0762333125418864e-25,6.647357345670179e-26,3.158185550865617e-26
MEG0813,7.121686820263301e-25,2.4635464243582895e-25,1.9988441372969596e-25,1.425040620919708e-25,7.961570496481886e-26
MEG0822,6.962519240091882e-25,2.735108113434775e-25,1.778585990720691e-25,1.1944217136628062e-25,6.078538433796882e-26
MEG0823,4.998115356922987e-25,1.6006316633716242e-25,1.0688586406651327e-25,6.868171915733681e-26,3.5299886327109227e-26
MEG0912,6.614791468272644e-25,1.7280789937504336e-25,9.832459590771476e-26,5.77374346279712e-26,2.9493003896004024e-26
MEG0913,6.240396100809336e-25,2.0433590182824128e-25,1.449933068258752e-25,8.489151758794692e-26,4.245409271220598e-26
MEG0922,7.962626515776218e-25,2.0363047865573742e-25,1.1395626383684482e-25,7.020473484425961e-26,3.803099493318699e-26
MEG0923,7.860908009531716e-25,2.174761945038524e-25,1.5973985702067668e-25,9.392679605577463e-26,4.53704574437638e-26
MEG0932,5.787388394160343e-25,2.1008735376876273e-25,1.1713582027988162e-25,7.367424380820175e-26,3.3940069132338146e-26
MEG0933,4.440626559049867e-25,1.5485548400722927e-25,1.0100875079336947e-25,5.979498156503366e-26,3.4268873159994165e-26
MEG0942,4.1793902631442265e-25,1.671136692201327e-25,9.633115143664441e-26,6.100082725357117e-26,2.9807141775990685e-26
MEG0943,4.636208887938395e-25,1.6500083585261955e-25,1.053895418810011e-25,7.641907115569963e-26,4.284858151537798e-26
MEG1012,4.715500871042178e-25,1.7527305347071486e-25,1.2229470405833582e-25,7.466413240997014e-26,3.9723594764710414e-26
MEG1013,3.988127354535777e-25,1.8001136741550898e-25,1.16137416569524e-25,7.763988617428351e-26,3.97932673460609e-26
MEG1022,4.339891814970824e-25,1.4949263366669382e-25,1.1537133738380678e-25,6.445038556845732e-26,3.144354298131669e-26
MEG1023,3.355782015097729e-24,6.535993200929177e-25,2.850001383603631e-25,1.502828336273131e-25,6.795229402913423e-26
MEG1032,4.700314476839341e-25,1.6125242931651815e-25,1.1753408254517937e-25,7.499039588246805e-26,3.6905717668190794e-26
MEG1033,5.896374926888032e-25,2.1959707217940686e-25,1.402321325319109e-25,7.634315591783975e-26,3.6401357154120885e-26
MEG1042,4.852045122078853e-25,2.199937179078326e-25,1.802057957851389e-25,9.934184633788398e-26,5.578591133195986e-26
MEG1043,3.092474879976919e-25,1.7823780487212897e-25,1.4555332975217904e-25,9.391909196604931e-26,5.482790505715677e-26
MEG1112,5.832955986898506e-25,2.1429178156111668e-25,1.9089468627701723e-25,9.090533342795779e-26,4.156715606666382e-26
MEG1113,1.5787184106123242e-24,6.80370412172823e-25,3.4863450538978973e-25,1.7563046616167432e-25,6.468035626971505e-26
MEG1122,4.24441865269799e-25,2.3469451505746764e-25,1.9870265858623561e-25,9.926345837704839e-26,5.013342151181412e-26
MEG1123,7.790471037969394e-25,3.3726132636933947e-25,2.235388247051995e-25,1.0576868924597606e-25,3.814994836308587e-26
MEG1132,5.0807844600861665e-25,2.910870586890807e-25,3.004269137930484e-25,1.4453125581163584e-25,5.1025634778874265e-26
MEG1133,8.2016704653701505e-25,3.4074327179427174e-25,2.932373756722705e-25,1.231358118279404e-25,4.2007343933662214e-26
MEG1142,5.993188623125513e-25,2.323403226759346e-25,2.540061552044603e-25,1.0174389787246431e-25,3.6760993247031155e-26
MEG1143,3.0052010567940534e-25,1.6267899598207055e-25,1.4690718829319286e-25,6.628643216851408e-26,2.902394597270571e-26
MEG1212,7.841583896982263e-25,2.5385523044063436e-25,1.4263826657751881e-25,7.713856295186556e-26,3.896983256957232e-26
MEG1213,1.5013950619800795e-24,3.5392024947635403e-25,1.8954209943809938e-25,1.0563757858736987e-25,4.8329960336806763e-26
MEG1222,8.173780803382784e-25,3.4940936488719923e-25,2.8039823457433174e-25,1.23518376373146e-25,5.946703767047901e-26
MEG1223,2.1522776649059923e-24,5.42939682268405e-25,2.967277422088565e-25,1.2686691438571573e-25,4.0244010361098047e-26
MEG1232,9.541576906411135e-25,3.415867344686762e-25,1.6541580172162695e-25,8.712105357597003e-26,3.4095766963500943e-26
MEG1233,5.430813818201418e-25,2.5225213128077033e-25,1.697358652482577e-25,9.062822080954681e-26,4.1836961410758724e-26
MEG1242,3.631595197170667e-25,1.860276774877966e-25,1.349558984242594e-25,7.54467745760033e-26,4.0009440545778426e-26
MEG1243,5.299760893107538e-25,2.193488745091187e-25,1.4432767957864836e-25,8.821246831330202e-26,5.11088159363248e-26
MEG1312,1.33025778715955e-24,5.723488200981193e-25,3.470411781241176e-25,1.4233411444094116e-25,4.756526699025065e-26
MEG1313,5.864840211981904e-25,2.7286209190902447e-25,2.440650872400779e-25,9.898512836300932e-26,4.4412067563409954e-26
MEG1322,1.1702346412928197e-24,4.757654280268671e-25,4.6095587473234225e-25,2.286623722268721e-25,9.353964054806344e-26
MEG1323,2.1097712458834085e-24,6.961596089156579e-25,4.601073805056946e-25,1.891882812525572e-25,6.440644777595412e-26
