,delta (0.5-4 Hz),theta (4-8 Hz),alpha (8-12 Hz),beta (12-30 Hz),gamma (30-100 Hz)
MEG2231,6.541729010895252e-27,2.927879148803954e-27,1.942001577810414e-27,1.1107939829429628e-27,5.540575670236672e-29
MEG2241,6.040050688699338e-27,2.414658684525151e-27,1.4537948956329382e-27,1.8368921635083885e-27,4.886947531943865e-29
MEG2311,7.631579731314016e-27,3.334223407561382e-27,2.374348887245294e-27,4.78097418764616e-28,5.801258524041647e-29
MEG2321,8.916142745811063e-27,3.81629841678427e-27,3.193844549971319e-27,6.8267908378320285e-28,7.560667605071193e-29
MEG2331,1.1300361358739864e-26,4.768317445115379e-27,3.701628701576562e-27,1.2266702594491786e-27,2.259221427607785e-28
MEG2341,9.156999277116663e-27,4.1506214322850074e-27,2.8262858905763647e-27,7.523515614847044e-28,1.1024526077840373e-28
MEG2411,6.983575409161385e-27,3.1690273724096082e-27,2.375146188195576e-27,7.185696216297145e-28,6.975494427187007e-29
MEG2421,7.646015781679013e-27,3.352675924514557e-27,2.8589018902338132e-27,6.328193638063055e-28,7.905582310876059e-29
MEG2431,8.129935579084617e-27,3.533362688068811e-27,3.2253792897443266e-27,6.402237615042097e-28,7.292966927106401e-29
MEG2441,7.15545428574967e-27,3.246804235750707e-27,2.652660803494188e-27,5.548663330084051e-28,5.857128801614003e-29
MEG2511,1.0973235859306293e-26,4.506621986943089e-27,3.7093207679460264e-27,1.0906610293512253e-27,1.3090018521642132e-28
MEG2521,1.0384529608201811e-26,4.156519973953332e-27,3.5628273116140295e-27,9.681794023536299e-28,1.2734353638406707e-28
MEG2531,1.8250452038491308e-26,6.32150302259928e-27,4.159242792942872e-27,1.3204005045403196e-27,1.966688998813248e-28
MEG2541,1.9642794233030315e-26,7.018989082604668e-27,4.249223395516913e-27,1.465510092914456e-27,2.1475419861754305e-28
MEG2611,1.0290138941633965e-26,4.028735891098239e-27,3.1669633028547555e-27,9.131346558233273e-28,1.0566913037108707e-28
MEG2621,1.7058203210378715e-26,5.7726300224762e-27,4.073322082349608e-27,1.2766408859060264e-27,1.012651374481866e-28
MEG2631,1.7373845726137986e-26,5.941937026804394e-27,4.1169856215735425e-27,1.2358257697783982e-27,1.3825596376425854e-28
MEG2641,9.884180153740706e-27,3.951494448047495e-27,3.3366162854062765e-27,9.104712497043185e-28,1.113536916123913e-28
